platform,rank,query_norm,requests,share_pct
desktop,1,календарь 2021,2810,0.7237343663074609
desktop,2,таблица менделеева,2659,0.6848433024952094
desktop,3,картинки,1720,0.44299754806008285
desktop,4,английский алфавит,1352,0.3482166773123442
desktop,5,обои на рабочий стол,1143,0.2943873240887644
desktop,6,одноклассники (социальная сеть),1116,0.287433292811077
desktop,7,алфавит,923,0.23772484701131189
desktop,8,таблица квадратов,883,0.22742257845177505
desktop,9,таблица умножения,872,0.22458945459790247
desktop,10,youtube,838,0.21583252632229616
touch,1,с днём рождения женщине,4924,0.6781425724520418
touch,2,с днём рождения,4123,0.5678273408244858
touch,3,с днём рождения мужчине,3669,0.50530160404682
touch,4,с днем рождения,3315,0.45654805598670156
touch,5,погода,2918,0.40187246677803773
touch,6,игры,2873,0.3956749818551414
touch,7,фильмы,2770,0.38148962747606735
touch,8,новости,2733,0.3763939176505748
touch,9,музыка,2723,0.37501669877882005
touch,10,спорт,2662,0.36661566366111603
