topic,desktop_count,touch_count,desktop_share_pct,touch_share_pct,diff_pp_touch_minus_desktop,touch_to_desktop_ratio
Поздравления и пожелания,8164,56776,2.102693013001463,7.819297866274802,5.7166048532733384,3.7187063519056145
Красота и мода,3694,21581,0.9514145014732245,2.9721760471339387,2.020761545660714,3.123954953816341
"Новости, погода и спорт",3045,15833,0.7842601940947396,2.180550639649305,1.3962904455545653,2.780391832057589
Контент 18+,234,7636,0.060268271073290344,1.0516443304719316,0.9913760593986413,17.44938580938674
Карты и городской транспорт,3055,11063,0.786835761234624,1.5236172378222863,0.7367814765876624,1.9363853448846724
Развлечения и медиа,12183,28032,3.137813446520924,3.860619941302932,0.7228064947820076,1.2303535588940355
Кулинария и еда,1625,7261,0.4185296602311829,0.9999986227811283,0.5814689625499454,2.3893136291450556
Обои и фоны для телефона,204,4507,0.05254156965363773,0.6207125454998684,0.5681709758462307,11.81374174349874
Путешествия,1327,5331,0.34177775946263367,0.7341953805324604,0.3924176210698267,2.1481660495950536
Соцсети и мессенджеры,3403,1695,0.8764654977025941,0.23343859876243114,-0.643026898940163,0.26634088861225386
Презентации и рабочие материалы,3062,422,0.7886386582325428,0.058118636388050704,-0.730520021844492,0.0736948876493176
Печать и шаблоны,3256,297,0.8386046607462962,0.040903400491116244,-0.79770126025518,0.04877554747422903
Обои и фоны для ПК,5529,428,1.4240310716419755,0.05894496771110356,-1.365086103930872,0.0413930354776207
Раскраски,8899,706,2.291997197782952,0.09723165234588577,-2.1947655454370665,0.04242223917093601
"Календари, таблицы и алфавиты",21680,18057,5.583829559268951,2.4868441167275623,-3.0969854425413885,0.44536533411091095
